station,date,file_id,file,pod,minutes_on,min_temp,max_temp,minutes_lying,n_clicks,dph,n_encounters,dps,n_trains,remove
1014,2011-05-23,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1,1.8,0,0,0,0,0,0,FALSE
1014,2011-05-24,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1,2,0,0,0,0,0,0,FALSE
1014,2011-05-25,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-05-26,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-05-27,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-05-28,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-05-29,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-05-30,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2,0,0,0,0,0,0,FALSE
1014,2011-05-31,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2,0,0,0,0,0,0,FALSE
1014,2011-06-01,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-02,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-03,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-04,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-05,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-06,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-07,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-08,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2,0,0,0,0,0,0,FALSE
1014,2011-06-09,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-10,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-11,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-12,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-13,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.6,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-14,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-15,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-16,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-17,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1.2,2.4,0,0,0,0,0,0,FALSE
1014,2011-06-18,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0,4,0,0,0,0,0,0,FALSE
1014,2011-06-19,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-20,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-21,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-22,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-23,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.2,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-24,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
